Label,File,Jf,Ja,Bandwidth,Power_dB
Croatia: Diver & DPV,RBW6737_20250724_163700.wav,0.9336274485366483,0.8832482034382938,2.0,-40.91777
Croatia: Diver & DPV,RBW6737_20250724_163800.wav,0.9094702487255732,0.7936098538121167,5.0,-39.933495
Croatia: Diver & DPV,RBW6737_20250724_163900.wav,0.9828580652432825,0.7374025450310663,19.0,-40.668037
Croatia: Diver & DPV,RBW6737_20250724_164000.wav,0.8654850367761795,0.8223435938286673,3.0,-39.444702
Croatia: Diver & DPV,RBW6737_20250724_164100.wav,0.7898754255051049,0.8324999646561219,4.0,-41.83395
Croatia: Diver & DPV,RBW6737_20250724_164200.wav,0.9878097274063027,0.8791455990467173,92.0,-40.84675
Croatia: Diver & DPV,RBW6737_20250724_164300.wav,0.9827932384645678,0.8187535169928465,13.0,-40.732475
Croatia: Diver & DPV,RBW6737_20250724_164400.wav,0.980592261253229,0.8281847711065068,36.0,-39.888973
Croatia: Diver & DPV,RBW6737_20250724_164500.wav,0.8494734655642017,0.9213071313178688,123.0,-41.17343
Croatia: Diver & DPV,RBW6737_20250724_164600.wav,0.9874756824504115,0.8671887323355346,6.0,-41.485523
Croatia: Diver & DPV,RBW6737_20250724_164700.wav,0.9758163976428812,0.8668442730556342,4.0,-40.876434
Croatia: Diver & DPV,RBW6737_20250724_164800.wav,0.9330419150376305,0.7678684741346236,3.0,-39.00571
Croatia: Diver & DPV,RBW6737_20250724_164900.wav,0.9037664673602218,0.5231999341044916,5.0,-30.535748
Croatia: Diver & DPV,RBW6737_20250724_162100.wav,0.9354949758261785,0.7147092745468698,6.0,-31.956339
Croatia: Diver & DPV,RBW6737_20250724_162200.wav,0.8144422697428841,0.6118576349018771,2.0,-23.419842
Croatia: Diver & DPV,RBW6737_20250724_162300.wav,0.9017926040381643,0.5627120224625407,21.0,-26.434677
Croatia: Diver & DPV,RBW6737_20250724_162400.wav,0.9787060192143137,0.5206063522847041,5.0,-35.11638
Croatia: Diver & DPV,RBW6737_20250724_162500.wav,0.9056273583255514,0.6940768118132824,7.0,-41.671043
Croatia: Diver & DPV,RBW6737_20250724_162600.wav,0.9599120282784991,0.8415960719002261,18.0,-40.585228
Croatia: Diver & DPV,RBW6737_20250724_162700.wav,0.9789699285715822,0.9418252264338679,67.0,-40.186684
Croatia: Diver & DPV,RBW6737_20250724_165000.wav,0.973409191850021,0.7541571135656865,28.0,-34.227703
Croatia: Diver & DPV,RBW6737_20250724_165100.wav,0.8254740306359039,0.5860257881453332,6.0,-42.52899
Croatia: Diver & DPV,RBW6737_20250724_165200.wav,0.8264830397612933,0.22443878948945292,7.0,-15.783449
Croatia: Diver & DPV,RBW6737_20250724_165300.wav,0.8990557729426459,0.38963874763894485,5.0,-14.204226
Croatia: Diver & DPV,RBW6737_20250724_165400.wav,0.9429780193786811,0.6519145343335176,4.0,-31.234283
Croatia: Diver & DPV,RBW6737_20250724_165500.wav,0.9013736227475256,0.4464947554847283,11.0,-11.856231
Croatia: Diver & DPV,RBW6737_20250724_165600.wav,0.8833632701207391,0.24760059052193087,6.0,-20.800835
