Label,File,Jf,Ja,Bandwidth,Power_dB,SubDataset,P2Median
Hear My Ship: Tour Boats,Tourboat_1_19.08.23_110831_20secCPA.wav,0.9586956521739132,0.9205425753552784,2.0,-45.218323,,29.957270908928145
Hear My Ship: Tour Boats,Tourboat_1_22.08.23_110848_20secCPA.wav,0.8486497949950516,0.9425396804100568,2.0,-45.465855,,34.39572229971142
Hear My Ship: Tour Boats,Tourboat_1_22.08.23_130809_20secCPA.wav,0.9066520349869284,0.8766696563939487,2.0,-45.696457,,22.62316090591203
Hear My Ship: Tour Boats,Tourboat_1_22.08.23_181559_20secCPA.wav,0.7616261549943761,0.966362496230708,2.0,-51.80446,,7.22276932403321
Hear My Ship: Tour Boats,Tourboat_1_23.08.23_071652_20secCPA.wav,0.7543068713659385,0.9266028336776464,2.0,-52.226074,,19.988676807830096
Hear My Ship: Tour Boats,Tourboat_1_24.08.23_071830_20secCPA.wav,1.0,0.9809908720639084,2.0,-51.350864,,19.04690921371493
Hear My Ship: Tour Boats,Tourboat_1_24.08.23_100751_20secCPA.wav,0.876791789991978,0.9766533237386076,3.0,-47.709927,,18.893388887817792
Hear My Ship: Tour Boats,Tourboat_1_24.08.23_103817_20secCPA.wav,1.0,0.9326128031085712,3.0,-53.519066,,10.165809036507708
Hear My Ship: Tour Boats,Tourboat_1_25.08.23_144013_20secCPA.wav,1.0,0.975162866544258,2.0,-52.984215,,8.771068309687786
Hear My Ship: Tour Boats,Tourboat_1_26.08.23_181526_20secCPA.wav,0.6187183433253566,0.9464118615228057,2.0,-53.367085,,10.041499205002165
Hear My Ship: Tour Boats,Tourboat_1_31.08.23_090751_20secCPA.wav,0.9302095385010928,0.8804788546284366,3.0,-45.29632,,29.19886001003334
Hear My Ship: Tour Boats,Tourboat_1_31.08.23_100714_20secCPA.wav,0.9597381142544874,0.9188969611830956,2.0,-45.065132,,25.018723723730897
Hear My Ship: Tour Boats,Tourboat_1_31.08.23_140743_20secCPA.wav,0.959710074570444,0.9241029409152796,3.0,-44.56673,,46.86480023149802
Hear My Ship: Tour Boats,Tourboat_A_18.08.23_071749_20secCPA.wav,1.0,0.9689477762005492,3.0,-50.656982,,22.410166895428503
Hear My Ship: Tour Boats,TourBoat_2_03.08.23_151238_20secCPA.wav,0.9998866341684616,0.9644141516959098,2.0,-50.879448,,27.011796668271632
Hear My Ship: Tour Boats,TourBoat_2_05.09.23_124400_20secCPA.wav,0.5669524509630383,0.9413734008013902,3.0,-52.36408,,27.26308059633597
Hear My Ship: Tour Boats,TourBoat_2_22.08.23_174304_20secCPA.wav,0.9597040605643496,0.90999140204147,3.0,-49.232502,,7.9919931956613075
Hear My Ship: Tour Boats,TourBoat_2_23.08.23_124256_20secCPA.wav,0.5536350955797661,0.9608853888344526,3.0,-51.160934,,32.50947092601226
Hear My Ship: Tour Boats,TourBoat_2_28.08.23_101254_20secCPA.wav,0.9603586516078972,0.9710072434503664,2.0,-50.72411,,57.69729777353179
Hear My Ship: Tour Boats,TourBoat_2_28.08.23_124142_20secCPA.wav,0.9971601657120346,0.8795357338621431,18.0,-43.38498,,5.001738304752278
Hear My Ship: Tour Boats,TourBoat_2_28.08.23_151013_20secCPA.wav,1.0,0.98808886553821,2.0,-51.150406,,13.262939133125142
Hear My Ship: Tour Boats,TourBoat_2_31.08.23_124320_20secCPA.wav,0.9999057492931196,0.9615558119638772,3.0,-50.925602,,17.70382801888617
Hear My Ship: Tour Boats,TourBoat_3_White_Grey_01.09.23_102402_20secCPA.wav,0.9544625159902724,0.9554598807775182,3.0,-45.75843,,97.31530999452752
Hear My Ship: Tour Boats,TourBoat_3_White_Grey_22.08.23_170819_20secCPA.wav,0.9820793302647433,0.9162391890811996,3.0,-44.722054,,38.3969442417889
Hear My Ship: Tour Boats,TourBoat_3_White_Grey_23.08.23_143001_20secCPA.wav,0.9514940860850052,0.9668595424840124,3.0,-41.754906,,55.87724548620383
Hear My Ship: Tour Boats,TourBoat_4_White_Brown_White_Bouys_05.09.23_183055_20secCPA.wav,0.6687426426493126,0.9192239260801988,2.0,-45.037453,,8.799352362128543
Hear My Ship: Tour Boats,TourBoat_4_White_Brown_White_Bouys_09.08.23_084450_20secCPA.wav,0.9146414979961608,0.7504480930429842,2.0,-40.52707,,5.138146094833649
